"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HVO_RS00045.244",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.245",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.246",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.247",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.248",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.249",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.250",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.251",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.252",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.253",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.254",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.255",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.256",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.257",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.258",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.259",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.260",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.261",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.262",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.263",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.264",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.265",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.266",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.267",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.268",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.269",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.270",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.271",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.272",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.273",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.274",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.275",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.276",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.277",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.278",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.279",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.280",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.281",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.282",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00035.1",6361.06372150255,0.35225522169322,0.0980842758777793,0,1,1
"HVO_RS00030.1",1111.96579454618,-0.0140935040352846,0.0911284289815776,0,1,1
"HVO_RS00045.283",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.284",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.285",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.286",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.287",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
